Disease,Description,symptoms,cause,side_effects,treatment,medications,prevention,severity,risk_factors,is_contagious,common_age_group,duration,first_aid_advice,Source_of_information,scientific_name
Ringworm,"A chronic inflammatory skin condition characterized by itchy, red, and dry skin.","Itching, redness, dry skin, inflammation, rashes, cracked or scaly skin",Genetic and environmental factors; often linked to allergies or immune system dysfunction,"Skin infections, sleep disturbances, thickened skin from scratching","Moisturizers, topical corticosteroids, antihistamines, immunosuppressants","Hydrocortisone, Tacrolimus, Antihistamines, Dupilumab","Avoid known triggers, use gentle skin care products, keep skin moisturized",Varies from mild to severe and chronic,"Family history, allergies, asthma, environmental irritants",No,"Infants, children, but can occur at any age",Chronic (long-term); symptoms can flare up periodically,"Apply moisturizer, avoid scratching, use prescribed creams","WHO, Mayo Clinic, American Academy of Dermatology",Atopic Dermatitis
Chickenpox,Contagious viral infection causing itchy rash and blisters,"Fever, fatigue, itchy rash ith red spots and blisters",Varicella-zoster virus,"Skin Infections, pneumonia, encephalitis","Antiviral medications, calamine lotion, antihistamines","Acyclovir, calamine lotion, diphenhydramine",Varicella vaccine,Moderate,Unvaccinated individuals,Yes,Children,1-2 weeks,"keep nails short, apply, soothing lotions, isolate",CDC - Chickenpox,Varicella
Psoriasis,Autoimmune condition using rapid skin cell buildup,"Scaly, red patches with silvery scales",Autoimmune response,"Itching, burning, joint pain (psoriatic arthritis)","Topical creams, phototherapy, biologics.","Corticosteroids, Methotrexate, Biologics (e.g. Adalimumab)","Stress reduction, skin cre, avoid triggers",Mild to debilitating,"Family history, infection, stress",No,15-35 years,Lifelong with flare-ups,Use moisturizers and anti-inflammatory creams,National Psoriasis Foundation,Psoriasis vulgaris
Eczema,Fungal infection forming circular red rashes.,"Circular red rash, itching, scaly skin.",Dermatophyte fungi.,"Skin cracks, secondary infection.", Antifungal creams or oral medication.,"Clotrimazole, Terbinafine, Griseofulvin","Good hygiene, avoid sharing personal items.",Mild to Moderate,"Damp environment, skin contact sports.",Yes,"Children, ahtletes",2-4 weeks,"Apply antifungal, keep dry and clean.",Cleveland Clinic - Ringworm,Tinea corporis
Rosacea,Chronic facial skin condition with redness and visible blood vessels.,"Redness, swelling, visible blood vessels, acne-like breakouts.","Unknown; possibly immune, environmental, or vascular factors.","Eye irritation, thickened skin.","Topical antibiotics, laser therapy.","Metronidazole, Azelaic acid, Doxycycline","Avoid heat, spicy food, alcohol.",Chronic but manageable.,"Fair skin, family history.", No.,30–50 years.,Long-term.,"Avoid triggers, use gentle cleansers.",National Rosacea Society,Rosacea
Impetigo,Highly contagious bacterial skin infection.,Red sores that burst and form honey-colored crust.,Staph or Strep bacteria.,"Cellulitis, scarring.",Antibiotic cream or oral antibiotics.,"Mupirocin, Cephalexin, Amoxicillin","Hygiene, avoid sharing items.",Mild to moderate.,"Warm climates, young children.",Yes.,Children (2–5 years).,7–10 days with treatment.,"Clean with mild soap, cover with gauze, avoid scratching.",NHS - Impetigo,Impetigo contagiosa
Cataract,Clouding of the lens in the eye leading to decreased vision.,"Blurry vision, difficulty seeing at night, sensitivity to light, seeing halos around lights.","Aging, diabetes, smoking, prolonged exposure to sunlight.","Vision impairment, blindness if untreated.",Surgical removal of the clouded lens and replacement with an artificial lens.,"No medications can cure cataracts, but eye drops may help manage symptoms temporarily.","Wearing sunglasses, managing diabetes, avoiding smoking, regular eye exams.",Progressive and can lead to blindness if untreated.,"Age, UV exposure, smoking, diabetes, eye injury.",No,People over 60 years old.,Progressive; worsens over months or years.,Protect the eyes from further damage; seek an ophthalmologist.,"WHO, Mayo Clinic, WebMD",
Conjunctivitis,Inflammation of the conjunctiva (the membrane covering the white part of the eye).,"Redness, itching, tearing, discharge, gritty feeling in the eye.","Viral or bacterial infection, allergies, irritants like smoke or chlorine.","Discomfort, blurred vision, spread of infection.","Antibiotic or antiviral eye drops (for infections), antihistamines (for allergies).","Tobramycin, Ciprofloxacin, Olopatadine.","Good hygiene, avoiding sharing towels or cosmetics, avoiding allergens.",Usually mild but can be severe in some infections.,"Close contact with infected individuals, allergies, poor hygiene.","Yes, if caused by bacteria or virus.",Children and adults in close-contact settings.,"3–7 days (viral), up to 2 weeks (bacterial).","Avoid touching the eyes, clean discharge, apply prescribed drops.","CDC, American Academy of Ophthalmology",
Stye,"A red, painful lump near the edge of the eyelid caused by a bacterial infection.","Swelling, redness, pain, tenderness, teariness.",Bacterial infection (usually Staphylococcus) of oil glands in the eyelid.,"Temporary blurred vision, pain, discomfort.","Warm compresses, antibiotic ointments or drops if needed.","Erythromycin ointment, warm saline solution.","Keep eyelids clean, avoid sharing cosmetics, replace old makeup.","Mild, self-limiting in most cases.","Poor eyelid hygiene, rubbing eyes with dirty hands, use of old cosmetics.","No, but the bacteria causing it can spread.","All age groups, more common in teenagers and adults.",3–7 days typically.,Apply warm compresses for 10-15 minutes several times a day.,"Mayo Clinic, NHS",
Herpes Simplex,"An eye infection caused by the herpes simplex virus (HSV), affecting the cornea.","Eye redness, pain, blurred vision, watery discharge, sensitivity to light.","Herpes Simplex Virus Type 1 (HSV-1), usually from a cold sore virus.","Corneal scarring, vision loss, recurrent infections.",Antiviral eye drops or oral medications.,"Acyclovir, Trifluridine drops.","Avoid touching the eyes after touching cold sores, proper hygiene.",Can be serious and lead to blindness if untreated.,"Previous HSV infection, immunosuppression.","Yes, HSV is contagious.",Young adults to middle-aged individuals.,"7–14 days (initial), can recur.","Avoid touching the infected eye, seek medical treatment immediately.","American Academy of Ophthalmology, CDC",
